ligne,date,parent,entreprise,source,destination,secteur,activite,signal,funding,capex
1,Sep 2025,Signal AI,Signal AI,United Kingdom,United States,Software & IT services,n/a,New Funding/Resour...,$165.00m,-
2,Sep 2025,ZPG,Property Finder,United Kingdom,Middle East,Real estate,n/a,New Funding/Resour...,$525.00m,-
3,Sep 2025,Dynacor Gold Min...,Dynacor Gold Min...,Canada,Latin America & C...,Metals,n/a,New Investment Stra...,-,-
4,Sep 2025,Utila,Utila,Israel,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,$22.00m,-
5,Sep 2025,Subsea Technolo...,Subsea Technolo...,United Kingdom,Denmark,Electronic components,"Sales, Marketing & ...",Considering Projec...,-,-
6,Sep 2025,Silent Push,Silent Push,United States,Asia-Pacific,Software & IT services,n/a,New Funding/Resour...,$10.00m,-
7,Sep 2025,Nucleon Security,Nucleon Security,France,Africa,Software & IT services,n/a,New Funding/Resour...,$3.54m,-
8,Sep 2025,Meraki Global,Ikigai Steel,UAE,Canada,Metals,n/a,New Investment Stra...,-,-
9,Sep 2025,Dengage,Dengage,United Kingdom,Latin America & C...,Software & IT services,n/a,New Funding/Resour...,-,-
10,Sep 2025,Intella,Intella,Saudi Arabia,Middle East,Software & IT services,n/a,New Funding/Resour...,$12.50m,-
11,Sep 2025,EMAMI,EMAMI,India,Bangladesh,Consumer products,Manufacturing,Considering Project (...,-,-
12,Sep 2025,Professional.me,Professional.me,UAE,Middle East,Software & IT services,n/a,New Funding/Resour...,$3.10m,-
13,Aug 2025,StraTech,StraTech,South Africa,Africa,Financial services,n/a,New Funding/Resour...,-,-
14,Aug 2025,Twiva,Twiva,Kenya,Africa,Software & IT services,n/a,New Funding/Resour...,-,-
15,Aug 2025,Ampersand,Ampersand,Rwanda,Africa,Non-automotive tran...,n/a,New Funding/Resour...,-,-
