fichier,ligne,colonne,brut,code,motif
afrique_p617,15,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Deux postes de la nomenclature commencent par « Pipeline transportati » — pétrole brut et gaz naturel — et l'import refuse de choisir. CNPC / China Petroleum Pipeline au Mozambique, mars 2016, 4,00 Md$ : l'APIX retient le gaz naturel."
afrique_p618,7,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Sasol au Mozambique, novembre 2015, extension à 210,00 M$ : l'APIX retient le gaz naturel."
afrique_p651,5,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_crude_oil,"Même troncature ambiguë. CNPC au Niger, octobre 2021, 167,70 M$ : l'APIX retient le pétrole brut."
afrique_p679,13,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Exxon Mobil / Mobil Producing Nigeria, novembre 2018, 314,90 M$ : l'APIX retient le gaz naturel."
afrique_p702,3,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Indorama / Eleme Petrochemicals, Singapour vers le Nigeria, janvier 2013, 314,90 M$ : l'APIX retient le gaz naturel."
afrique_p717,11,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Gazprom, Russie vers le Nigeria, juin 2008, 45,70 M$ : l'APIX retient le gaz naturel."
afrique_p721,15,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Chevron Nigeria, États-Unis vers le Nigeria, septembre 2005, 590,00 M$ déclarés et 2 183 emplois : l'APIX retient le gaz naturel."
afrique_p864,4,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. CNPC / China Petroleum Pipeline, Chine vers l'Afrique du Sud, mars 2016, 2,00 Md$ estimés et 3 000 emplois : l'APIX retient le gaz naturel."
afrique_p983,12,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_crude_oil,"Même troncature ambiguë. ONGC Videsh (Oil & Natural Gas Corp), Inde vers le Soudan, juin 2004, 200,00 M$ déclarés et 740 emplois : l'APIX retient le pétrole brut."
afrique_p983,13,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_crude_oil,"Même troncature ambiguë. CNPC, Chine vers le Soudan, mars 2004, 45,70 M$ estimés et 93 emplois : l'APIX retient le pétrole brut."
afrique_p1040,2,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Eni SpA, Italie vers la Tunisie, août 2011, 45,70 M$ estimés et 93 emplois : l'APIX retient le gaz naturel."
afrique_p1060,4,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_natural_gas,"Même troncature ambiguë. Centurion Energy, Canada vers la Tunisie, juillet 2003, 45,70 M$ estimés et 93 emplois : l'APIX retient le gaz naturel."
afrique_p1064,6,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_crude_oil,"Même troncature ambiguë. TotalEnergies, France vers l'Ouganda, février 2022, 3 500,00 M$ déclarés et 3 000 emplois : l'APIX retient le pétrole brut."
afrique_p1082,5,sous_secteur,Pipeline transportati…,transportation_and_warehousing__pipeline_transportation_of_crude_oil,"Même troncature ambiguë. Tamoil (Oilinvest), Pays-Bas vers l'Ouganda, février 2009, 250,00 M$ déclarés et 925 emplois : l'APIX retient le pétrole brut."
